Manufacturer,Part Number ,Part description ,Part location ,Part details on the system ,Quantity # in stock,Unit Price $,Date Used ,Date Re-Ordered  ,Quantity Used
McMASTER-CARR,1491N102,Threaded brass pipe fitting 90 degree elbow 1/4 female ,L 6th drawer ,,4,,,,
McMASTER-CARR,1491N156,Threaded brass pipe fitting 3/8 female NPTF,L 6th drawer ,,5,,44825,,1
McMASTER-CARR,1491N242,Threaded brass pipe fitting high pressure reducer 1/2 male x 1/4 male,L 6th drawer ,,4,,,,
McMASTER-CARR,1491N241,Threaded brass fitting high pressure reducer 3/8 male x 1/4 male,L 6th drawer ,,4,,44825,,1
McMASTER-CARR,1491N104,Threaded brass pipe fitting high pressure 90 degree elbow connector 1/2 female ,L 6th drawer ,,4,,,,
McMASTER-CARR,1491N226,Threaded brass pipe fitting high pressure reducer 3/8 female x 1/4 female ,L 6th drawer ,,5,,,,
McMASTER-CARR,1491N229,Threaded brass pipe fitting high pressure reducer 1/2 female x 3/8 female ,L 6th drawer ,,4,,44783,,1
McMASTER-CARR,1491N155,Threaded brass pipe fitting high pressure 1/4 female ,L 6th drawer ,,6,,,,
McMASTER-CARR,1491N202,Threaded brass pipe fitting bushing adapter 1/2 male x 3/8 female ,L 6th drawer ,,5,,,,
McMASTER-CARR,1491N103,Threaded brass pipe fitting high pressure 90 degree elbow connector 3/8 female ,L 6th drawer ,,4,,,,
Bauer,N45336,saftey valve 24R,L 6th drawer ,,1,,,,
Bauer ,N45357,pressure valve 24R,L 6th drawer ,,1,,,,
Bauer ,N19974,saftey valve 62FLY,L 6th drawer ,Intake valve for 1st Stage Valve Head-bauer page 48 item 5,2,,,,
Bauer ,N19973,Discharge Valve 62FLY ,L 6th drawer ,Pressure valve for 1st Stage Valve Head-bauer page 48 item 4,2,,,,
Bauer ,N19383,Pressure valve 60R,L 6th drawer ,Discharge valve for 2nd Stage Valve Head-bauer page 50 item 13,1,,,,
Linde ,E69498,"BODY,EXT STEM VALVE, PER DWG B8063440",L 6th drawer ,valve body assembly N.C. Actuator - V308-page 180 item 5,1,,,,
Linde ,E71947,"VALVE, RLF 1M/F 13 PSI BR (V333)",L 6th drawer ,V333-Page 153,1,,,,
Linde ,E70137,"VALVE,RLF 1NPT M/F 5PSI BR",L 6th drawer ,V313-Page 153,1,,,,
Linde ,E72050,"BODY, EXT STEM VALVE OPERATOR 3",L 6th drawer ,"Body for the Gas Operated Extended Stem Valve N.C. (V614, V616)-Page 182 item 11, page 184 item 11",2,,,,
Swagelok/bauer,N24028,Filter element 140 micron,L 6th drawer ,,1,,,,
bauer ,N4085,O ring ,L 6th drawer ,O-ring for 1st Stage Valve Head-bauer page 48 item 7,6,,,,
bauer ,N3997,O ring ,L 6th drawer ,O-ring for 3rd Stage Valve Head Assembly-bauer page 51 item 7,2,,,,
bauer ,N1316,Gasket,L 6th drawer ,"gasket page 36 item 7, page 41 item 5 and 12, page 49 item 12, page 50 item 2, page 56 item 4, page 61 item 1",8,,,,
bauer ,N15412,O ring ,L 6th drawer ,O-ring for IK 23.1 C & G Oil Refill System-bauer page 40 item 2,1,,,,
bauer ,N4058,O ring ,L 6th drawer ,O-ring for 4th Stage Valve Head Assembly-bauer page 52 item 10,1,,,,
bauer ,160750,Sealing ring ,L 6th drawer ,,1,,,,
bauer ,5298,Sealing ring ,L 6th drawer ,Gasket for 1st Stage Valve Head-bauer page 48 item 3,6,,,,
bauer ,N39499,Sealing ring ,L 6th drawer ,,1,,,,
bauer ,N19122,O ring ,L 6th drawer ,o ring for the C & G crankcase oil seperator-bauer page 38 item 3 ,1,,,,
bauer ,N4059,supporting ring ,L 6th drawer ,Backup ring for 4th Stage Valve Head Assembly-bauer page 52 item 11,1,,,,
bauer ,N4154,O ring ,L 6th drawer ,O-ring for 2nd Stage Valve Head-bauer page 50 item 11,2,,,,
bauer ,56668,Sealing ring ,L 6th drawer ,Gasket for 3rd Stage Valve Head Assembly-bauer page 51 item 3,2,,,,
Bauer ,N1282,cylinder head screw ,L 6th drawer ,Allen head screw for 3rd Stage Valve Head Assembly-bauer page 51 item 12,6,,,,
Bauer ,N15839,Oil Filter ,L 6th drawer ,Oil filter for Oil Pump and Fan Wheel Drive Assembly-bauer page 59 item 28,1,,,,
Linde,E69499,"ORING,110 BUNA N674-70 PARKER",L 5th drawer ,"O-ring for Extended stem valve V308-Page 178 item 3, page 194 item 19",2,,,,
Linde ,E69579,"ORING,110 TEFLON PARKER 2-110",L 5th drawer ,"Delivery Tube Assembly-page 186 item 2,page 194 item 20",1,,,,
linde ,E70345,"ORING,114 BUNA N674-70 PARKER",L 5th drawer ,"MODEL 1600 SERIES SPARE PARTS KIT-Page 194 item 21, page 200 ",5,,,,
Linde ,E69513,"ORING,006 BUNA N674-70 PARKER",L 5th drawer ,"MODEL 1600 SERIES SPARE PARTS KIT-page167 item 11,page 169 item 11,page 192 item 9,page 194 item 39",2,,,,
Linde ,E69579,"ORING,110 TEFLON PARKER 2-110",L 5th drawer ,"Delivery Tube Assembly-page 186 item 2,page 194 item 20",2,,,,
Linde,E69461,"ORING,334 BUNA N674-70 PARKER",L 5th drawer ,"Piston / Crosshead Assembly-page 163 item 4, page 192 item 2",4,,,,
Linde ,E69466,"ORING,016 BUNA N674-70 PARKER",L 5th drawer ,"o ring for Gas operated x-stem valve V614 V616 -page 182 item 2,page 184 item 2,page 193 item 13",2,,,,
Linde ,E64673,"ORING,B28 BUNA-N674-70 PARKER",L 5th drawer ,"o ring for Self-Sealing Coupling-Page 190 item 1g and 4k, page 194 item 22, page 207",2,,,,
linde ,E70373,"ORING,023 BUNA-N4900-70 PARKER",L 5th drawer ,"o ring for Self-Sealing Coupling-Page 190 item 2g and 5k, page 194 item 23, page 207",1,,,,
Linde ,E70345,"ORING,114 BUNA N674-70 PARKER",L 5th drawer ,"MODEL 1600 SERIES SPARE PARTS KIT-Page 194 item 21, page 200 ",1,,,,
Linde ,E69471,"SEAL,THREAD .25"" PARKER, 7500x1/4",L 5th drawer ,"N.C. Actuator - V308-Page 180 item 9, page 182 item 6, page 184 item 8, page 193 item 24",3,,,,
Linde ,E69469,"ORING,218 BUNA N674-70 PARKER",L 5th drawer ,"O-ring for N.C. actuator V308-Page 180 item 13, page 182 item 5,page 184 item 7,page 193 item 16, page 194 item 24",5,,,,
Linde ,E69468,"ORING,008 BUNA N674-70 PARKER",L 5th drawer ,"O-ring for N.C. Actuator - V308-page 180-item 12, page 182 item 4, page 184 item 4,page 193 item 14, page 195 item 53",4,,,,
Linde ,E69514,"ORING,112 BUNA N674-70 PARKER",L 5th drawer ,"O-ring for Inlet Valve Assembly -page 167 item 10, page 169 item 10, page 192 item 10",2,,,,
Linde ,E70458,"FUSE,2A GOULD SHAW TRM-2",L 5th drawer ,,3,,,,
Linde ,E69482,"FUSE,3A 5MMX20MM TIME DELAY",L 5th drawer ,"SPARE PARTS KIT M1600 SERIES LIQUEFIER-page 74 item 22, page 195 item 062",3,,,,
Linde ,E70456,"FUSE,2.5A BUSS FNQ-2-1/2",L 5th drawer ,,3,,,,
Linde ,E69481,"FUSE,2A 1.5X13/32 TIME DELAY",L 5th drawer ,"SPARE PARTS KIT M1600 SERIES LIQUEFIER-page 74 item 21, page 195 item 061",3,,,,
Linde ,E70607,"FUSE,2A FAST ACT BUSS KTK-2",L 5th drawer ,,3,,,,
Linde ,E70457,"FUSE,10A GOULD SHAW TRM-10",L 5th drawer ,,3,,,,
Linde ,E70580,"FUSE,500MA 5MMX20MM BUSS",L 5th drawer ,,3,,,,
Linde ,E70455,"FUSE,7A BUSS FNQ-7",L 5th drawer ,,3,,,,
Linde ,E70466,"FUSE,15A GOULD SHAW TRM-15",L 5th drawer ,,3,,,,
Linde ,E70499,"FUSE,3A 5MM X 20MM BUSS GMA-3",L 5th drawer ,,3,,,,
Linde ,E70439,"FUSE,3A 250V BUSS ABC-3",L 5th drawer ,,3,,,,
Linde ,E69480,"FUSE, 15A, 1.5x13/32, FAST",L 5th drawer ,,3,,,,
Linde ,E70152,"CONN,POLYPRO ""Y"" .25""-.375""ID",L 5th drawer ,,2,,,,
Linde ,E64672,"ORING,920 BUNA N674-70 PARKER",Shelf near ac unit ,"O-ring for KIT, ADSORBER MAINTENANCE - RS SERIES COMPRESSOR-RSX page 66 item 2",2,,,,
Linde ,E71961,"CARBON,PELLETS,NORIT RB-3",Shelf near ac unit ,"Carbon pellets for KIT, ADSORBER MAINTENANCE - RS SERIES COMPRESSOR-RSX page 66 item 1",3,,,,
Linde ,E70270,"FLANGE,BLIND 1.5NPS 150# A105",Shelf near ac unit ,,1,,,,
Linde ,E72184,"TOOL,BEARING LOCATING 3""BORE",Shelf near ac unit ,,1,,,,
Linde ,E70844,"RESISTOR,BRAKE 460-480 VAC",on liquefier ,BR-1 page 150 ,0,,,,
Linde ,E72428,"FILTER,CHARCOAL 4"" M1600",on adsorber ,E-36 Charcoal filter/ adsorber-page 150 No E36,0,,,,
Linde ,E70106,"VALVE,RLF .25NPT 70PSI BR",on liquefier ,V305 instrument air-page 153,0,,,,
Linde ,E71800,"REGULATOR,AIR 0-160PSIG .25FPT",on liquefier ,V306 instrument air-page 153,0,,,,
Linde ,E73472,"VALVE,EXT STEM CONTROL .074Cv",on liquefier ,(JT) V307-page 153,0,,,,
Linde ,E73234,"VALVE,PNEU .5""OD LP (V-308)",on liquefier ,V308-page 153,0,,,,
linde ,E71779,"KIT,SOL VALVE 35452022",on liquefier ,"V309 V620-page 153,156",0,,,,
Linde ,E69971,"VALVE,ANGLE .25MPT SS316",on liquefier ,V312-page 153,0,,,,
Linde ,E70137,"VALVE,RLF 1NPT M/F 5PSI BR",on liquefier ,V313+JT-page 153,0,450,,,
Linde ,E69345,"VALVE,RLF .25M/F 300PSI BR",on liquefier ,V321-page 153,0,,,,
Linde ,E71920,"VALVE,SOL 1NPT 120/110V NC BR",on liquefier ,V323-Page 153-spare coil P?N 822093- rebuild kit P/N 579058 ,0,,,,
Linde ,E71947,"VALVE,RLF 1M/F 13PSI BR (V333)",on liquefier ,V333+ JT-page 153,0,480,,,
Linde ,E69460,"KIT,SOL VALVE 35421346",on liquefier ,"V334 V374-Page 153,155",0,,,,
Linde ,E69299,"VALVE,BELLOW .125MPT BR HOKE",on liquefier ,V335-page 153,0,,,,
Linde ,E73154,"VALVE,VAC ISO NW25 ENDS AL",on liquefier ,V336-page 153,0,,,,
Linde ,E64636,"VALVE,BALL .5FPT BR W/316 BALL",on liquefier ,V339-page 153,0,,,,
Linde ,E70139,"VALVE,NEEDLE .375FPT BR REG",on liquefier ,"V340 V379-page 153,155",0,,,,
Linde ,E69970,"VALVE,NEEDLE .25FPT BR WHITEY",on liquefier ,V341-page 153,0,,,,
